time(sec)  velocity(km/h)  position(m)   Power(kW)
  142       233.66589      5309.75387      1243.32207
  143       233.66589      5374.66106      1243.32207
  144       233.66589      5439.56825      1243.32207
  145       233.66589      5504.47544      1243.32207
  146       233.66589      5569.38263      1243.32207
  147       233.66589      5634.28983      1243.32207
  148       233.66589      5699.19702      1243.32207
  149       233.66589      5764.10421      1243.32207
  150       233.66589      5829.01140      1243.32207
  151       233.66589      5893.91859      1243.32207
  152       233.66589      5958.82579      1243.32207
  153       233.66589      6023.73298      1243.32207
  154       233.66589      6088.64017      1243.32207
  155       233.66589      6153.54736      1243.32207
  156       233.66589      6218.45455      1243.32207
  157       233.66589      6283.36175      1243.32207
  158       233.66589      6348.26894      1243.32207
  159       233.66589      6413.17613      1243.32207
  160       233.66589      6478.08332      1243.32207
  161       233.66589      6542.99051      1243.32207
  162       233.66589      6607.89771      1243.32207
  163       233.66589      6672.80490      1243.32207
  164       233.66589      6737.71209      1243.32207
  165       233.66589      6802.61928      1243.32207
  166       233.66589      6867.52647      4863.07406
  167       233.66589      6932.43367      4863.07406
  168       233.66589      6997.34086      4863.07406
  169       233.66589      7062.24805      4863.07406
  170       233.66589      7127.15524      4863.07406
  171       233.66589      7192.06243      4863.07406
  172       233.66589      7256.96963      4863.07406
  173       233.66589      7321.87682      4863.07406
  174       233.66589      7386.78401      4863.07406
  175       233.66589      7451.69120      4863.07406
  176       233.66589      7516.59839      4863.07406
  177       233.66589      7581.50559      8835.51984
  178       233.66589      7646.41278      8835.51984
  179       233.66589      7711.31997      8835.51984
  180       233.66589      7776.22716      8835.51984
  181       233.66589      7841.13435      8835.51984
  182       233.66589      7906.04155      8835.51984
  183       233.66589      7970.94874      8835.51984
  184       233.66589      8035.85593      8835.51984
  185       233.66589      8100.76312      8835.51984
  186       233.66589      8165.67031      8835.51984
  187       233.66589      8230.57751      8835.51984
  188       233.66589      8295.48470      8835.51984
  189       233.66589      8360.39189      8835.51984
  190       233.66589      8425.29908      8835.51984
  191       233.66589      8490.20627      8835.51984
  192       233.66589      8555.11347      8835.51984
  193       233.66589      8620.02066      8835.51984
  194       233.66589      8684.92785      8835.51984
  195       233.66589      8749.83504      8835.51984
  196       233.66589      8814.74223      8835.51984
  197       233.66589      8879.64943      8835.51984
  198       233.66589      8944.55662      8835.51984
  199       233.66589      9009.46381      8835.51984
  200       233.66589      9074.37100      8835.51984
  201       233.66589      9139.27819      8835.51984
  202       233.66589      9204.18539      8835.51984
  203       233.66589      9269.09258      8835.51984
  204       233.66589      9333.99977      8835.51984
  205       233.66589      9398.90696      8835.51984
  206       233.66589      9463.81415      8835.51984
  207       233.66589      9528.72135      8835.51984
  208       233.66589      9593.62854      8835.51984
  209       233.66589      9658.53573      8835.51984
  210       233.66589      9723.44292      8835.51984
  211       233.66589      9788.35011      8835.51984
  212       233.66589      9853.25731      8835.51984
  213       233.66589      9918.16450      8835.51984
  214       233.66589      9983.07169      8835.51984
  215       233.66589     10047.97888      8835.51984
  216       233.66589     10112.88607      8835.51984
  217       233.66589     10177.79327      8835.51984
  218       233.66589     10242.70046      8835.51984
  219       233.66589     10307.60765      8835.51984
  220       233.66589     10372.51484      8835.51984
  221       233.66589     10437.42203      8835.51984
  222       233.66589     10502.32923      8835.51984
  223       233.66589     10567.23642      8835.51984
  224       233.66589     10632.14361      8835.51984
  225       233.66589     10697.05080      8835.51984
  226       233.66589     10761.95799      8835.51984
  227       233.66589     10826.86519      8835.51984
  228       233.66589     10891.77238      8835.51984
  229       233.66589     10956.67957      8835.51984
  230       233.66589     11021.58676      8835.51984
  231       233.66589     11086.49395      8835.51984
  232       233.66589     11151.40115      8835.51984
  233       233.66589     11216.30834      8835.51984
  234       233.66589     11281.21553      8835.51984
  235       233.66589     11346.12272      8835.51984
  236       233.66589     11411.02991      8835.51984
  237       233.66589     11475.93711      8835.51984
  238       233.66589     11540.84430      8835.51984
  239       233.66589     11605.75149      8835.51984
  240       233.66589     11670.65868      8835.51984
  241       233.66589     11735.56587      8835.51984
  242       233.66589     11800.47307      8835.51984
