time(sec)  velocity(km/h)  position(m)   Power(kW)
  966       225.45759     43072.88342      4428.20224
  967       225.45759     43135.51053      4428.20224
  968       225.45759     43198.13763      4428.20224
  969       225.45759     43260.76474      4428.20224
  970       225.45759     43323.39185      4428.20224
  971       225.45759     43386.01895      4428.20224
  972       225.45759     43448.64606      4428.20224
  973       225.45759     43511.27317      4428.20224
  974       225.45759     43573.90028      4428.20224
  975       225.45759     43636.52738      4428.20224
  976       225.45759     43699.15449      4428.20224
  977       225.45759     43761.78160      4428.20224
  978       225.45759     43824.40870      4428.20224
  979       225.45759     43887.03581      4428.20224
  980       225.45759     43949.66292      4428.20224
  981       225.45759     44012.29002      4428.20224
  982       225.45759     44074.91713      4428.20224
  983       225.45759     44137.54424      4428.20224
  984       225.45759     44200.17135      4428.20224
  985       225.45759     44262.79845      4428.20224
  986       225.45759     44325.42556      4428.20224
  987       225.45759     44388.05267      4428.20224
  988       225.45759     44450.67977      4428.20224
  989       225.45759     44513.30688      4428.20224
  990       225.45759     44575.93399      4428.20224
  991       225.45759     44638.56109      4428.20224
  992       225.45759     44701.18820      4428.20224
  993       225.45759     44763.81531      4428.20224
  994       225.45759     44826.44242      4428.20224
  995       225.45759     44889.06952      4428.20224
  996       225.45759     44951.69663      4428.20224
  997       225.45759     45014.32374      4428.20224
  998       225.45759     45076.95084      4428.20224
  999       225.45759     45139.57795     11550.70986
 1000       225.45759     45202.20506     11550.70986
 1001       225.45759     45264.83216     11550.70986
 1002       225.45759     45327.45927     11550.70986
 1003       225.45759     45390.08638     11550.70986
 1004       225.45759     45452.71349     11550.70986
 1005       225.45759     45515.34059     11550.70986
 1006       225.45759     45577.96770     11550.70986
 1007       225.45759     45640.59481     11550.70986
 1008       225.45759     45703.22191     11550.70986
 1009       225.45759     45765.84902     11550.70986
 1010       225.45759     45828.47613     11550.70986
 1011       225.45759     45891.10323     11550.70986
 1012       225.45759     45953.73034     11550.70986
 1013       225.45759     46016.35745     11550.70986
 1014       225.45759     46078.98455     11550.70986
 1015       225.45759     46141.61166     11550.70986
 1016       225.45759     46204.23877     11550.70986
 1017       225.45759     46266.86588     11550.70986
 1018       225.45759     46329.49298     11550.70986
 1019       225.45759     46392.12009     11550.70986
 1020       225.45759     46454.74720     11550.70986
 1021       225.45759     46517.37430     11550.70986
 1022       225.45759     46580.00141     11550.70986
 1023       225.45759     46642.62852     11550.70986
 1024       225.45759     46705.25562     11550.70986
 1025       225.45759     46767.88273     11550.70986
 1026       225.45759     46830.50984     11550.70986
 1027       225.45759     46893.13695      4428.20224
 1028       225.45759     46955.76405      4428.20224
 1029       225.45759     47018.39116      4428.20224
 1030       225.45759     47081.01827      4428.20224
 1031       225.45759     47143.64537      4428.20224
 1032       225.45759     47206.27248      4428.20224
 1033       225.45759     47268.89959      4428.20224
 1034       225.45759     47331.52669      4428.20224
 1035       225.45759     47394.15380      4428.20224
 1036       225.45759     47456.78091      4428.20224
 1037       225.19564     47519.37163         0.00000
 1038       224.93419     47581.88967         0.00000
 1039       224.67323     47644.33514         0.00000
 1040       224.41275     47706.70819         0.00000
 1041       224.15277     47769.00896         0.00000
 1042       223.89326     47831.23758         0.00000
 1043       223.63425     47893.39418         0.00000
 1044       223.37571     47955.47889         0.00000
 1045       223.11766     48017.49186         0.00000
