time(sec)  velocity(km/h)  position(m)   Power(kW)
  872       225.45759     37185.93536      4428.20224
  873       225.45759     37248.56247      4428.20224
  874       225.45759     37311.18958      4428.20224
  875       225.45759     37373.81669      4428.20224
  876       225.45759     37436.44379      4428.20224
  877       225.45759     37499.07090      4428.20224
  878       225.45759     37561.69801      4428.20224
  879       225.45759     37624.32511      4428.20224
  880       225.45759     37686.95222      4428.20224
  881       225.45759     37749.57933      4428.20224
  882       225.45759     37812.20643      4428.20224
  883       225.45759     37874.83354      4428.20224
  884       225.45759     37937.46065      4428.20224
  885       225.45759     38000.08776      4428.20224
  886       225.45759     38062.71486      4428.20224
  887       225.45759     38125.34197      4428.20224
  888       225.45759     38187.96908      4428.20224
  889       225.45759     38250.59618      4428.20224
  890       225.45759     38313.22329      4428.20224
  891       225.45759     38375.85040      4428.20224
  892       225.45759     38438.47750      4428.20224
  893       225.45759     38501.10461      4428.20224
  894       225.45759     38563.73172      4428.20224
  895       225.45759     38626.35882      4428.20224
  896       225.45759     38688.98593      4428.20224
  897       225.45759     38751.61304      4428.20224
  898       225.45759     38814.24015      4428.20224
  899       225.45759     38876.86725      4428.20224
  900       225.45759     38939.49436      4428.20224
  901       225.45759     39002.12147      4428.20224
  902       225.45759     39064.74857      4428.20224
  903       225.45759     39127.37568      4428.20224
  904       225.45759     39190.00279      4428.20224
  905       225.45759     39252.62989      4428.20224
  906       225.45759     39315.25700      4428.20224
  907       225.45759     39377.88411      4428.20224
  908       225.45759     39440.51122      4428.20224
  909       225.45759     39503.13832      4428.20224
  910       225.45759     39565.76543      4428.20224
  911       225.45759     39628.39254      4428.20224
  912       225.45759     39691.01964      4428.20224
  913       225.45759     39753.64675      4428.20224
  914       225.45759     39816.27386      4428.20224
  915       225.45759     39878.90096      4428.20224
  916       225.45759     39941.52807      4428.20224
  917       225.45759     40004.15518      4428.20224
  918       225.45759     40066.78229      4428.20224
  919       225.45759     40129.40939      4428.20224
  920       225.45759     40192.03650      4428.20224
  921       225.45759     40254.66361      4428.20224
  922       225.45759     40317.29071      4428.20224
  923       225.45759     40379.91782      4428.20224
  924       225.45759     40442.54493      4428.20224
  925       225.45759     40505.17203      4428.20224
  926       225.45759     40567.79914      4428.20224
  927       225.45759     40630.42625      4428.20224
  928       225.45759     40693.05336      4428.20224
  929       225.45759     40755.68046      4428.20224
  930       225.45759     40818.30757      4428.20224
  931       225.45759     40880.93468      4428.20224
  932       225.45759     40943.56178      4428.20224
  933       225.45759     41006.18889      4428.20224
  934       225.45759     41068.81600      4428.20224
  935       225.45759     41131.44310      4428.20224
  936       225.45759     41194.07021      4428.20224
  937       225.45759     41256.69732      4428.20224
  938       225.45759     41319.32442      4428.20224
  939       225.45759     41381.95153      4428.20224
  940       225.45759     41444.57864      4428.20224
  941       225.45759     41507.20575      4428.20224
  942       225.45759     41569.83285      4428.20224
  943       225.45759     41632.45996      4428.20224
  944       225.45759     41695.08707      4428.20224
  945       225.45759     41757.71417      4428.20224
  946       225.45759     41820.34128      4428.20224
  947       225.45759     41882.96839      4428.20224
  948       225.45759     41945.59549      4428.20224
  949       225.45759     42008.22260      4428.20224
  950       225.45759     42070.84971      4428.20224
  951       225.45759     42133.47682      4428.20224
  952       225.45759     42196.10392      4428.20224
  953       225.45759     42258.73103      4428.20224
  954       225.45759     42321.35814      4428.20224
  955       225.45759     42383.98524      4428.20224
  956       225.45759     42446.61235      4428.20224
  957       225.45759     42509.23946      4428.20224
  958       225.45759     42571.86656      4428.20224
  959       225.45759     42634.49367      4428.20224
  960       225.45759     42697.12078      4428.20224
  961       225.45759     42759.74789      4428.20224
  962       225.45759     42822.37499      4428.20224
  963       225.45759     42885.00210      4428.20224
  964       225.45759     42947.62921      4428.20224
  965       225.45759     43010.25631      4428.20224
